team_name,game,game_hole,game_black_hole,step,hole,black_hole,all_hole,ave_hole,ave_black_hole
ADT,14,9,0,94755,224,0,224,16.0,0.0
aeteam,20,13,0,137729,251,0,251,12.55,0.0
ALIANCE,18,16,0,126724,285,0,285,15.83,0.0
Alpha,16,13,0,107401,205,0,205,12.81,0.0
Apollo2d,23,4,4,158400,4,4,8,0.17,0.17
Big-Bang,17,13,1,111033,309,1,310,18.18,0.06
Black-warning,16,13,0,111511,225,0,225,14.06,0.0
CKU,18,13,0,124428,352,0,352,19.56,0.0
CYRUS,17,11,2,114727,138,2,140,8.12,0.12
cyrus-girls,18,11,1,125358,208,2,210,11.56,0.11
EMPEROR,21,9,7,150921,34,20,54,1.62,0.95
EMPEROR-J,17,9,0,113693,167,0,167,9.82,0.0
ETP,16,12,0,110141,274,0,274,17.12,0.0
FALCON,16,14,1,113892,237,1,238,14.81,0.06
football-iauk,22,1,1,155823,8,6,14,0.36,0.27
FRA-UNIted,22,8,7,146172,27,20,47,1.23,0.91
Galaxy-Coders,17,11,3,114169,111,3,114,6.53,0.18
Hades2D,18,14,0,121249,163,0,163,9.06,0.0
Hermes2D,14,10,1,96509,117,1,118,8.36,0.07
Hypatia,8,7,1,53684,117,1,118,14.62,0.12
IMC,17,11,1,124742,245,1,246,14.41,0.06
KING-IT,8,5,0,52662,148,0,148,18.5,0.0
Kings-of-PC,16,13,2,113643,184,4,188,11.5,0.25
MasterCpp,16,9,0,110356,191,0,191,11.94,0.0
Mcafee,21,7,6,148147,13,9,22,0.62,0.43
Mrl,22,13,13,151303,1488,1122,2610,67.64,51.0
Omega,19,13,2,126233,188,2,190,9.89,0.11
pioneer,17,11,1,112818,132,1,133,7.76,0.06
Pyrus,23,8,7,156280,19,16,35,0.83,0.7
R3CESBU,26,3,3,183679,5,3,8,0.19,0.12
Robo2D,20,12,12,142445,79,60,139,3.95,3.0
RoboCIn,24,2,1,166074,2,1,3,0.08,0.04
Ruiner,9,6,0,61000,102,0,102,11.33,0.0
Shadow,18,12,0,127219,321,0,321,17.83,0.0
Strong-girls,8,7,0,52810,77,0,77,9.62,0.0
The8,22,3,3,148630,11,6,17,0.5,0.27
ThunderLeague,26,1,1,182679,1,1,2,0.04,0.04
TNT,18,12,0,120923,296,0,296,16.44,0.0
Xprogrammers,18,12,0,129367,222,0,222,12.33,0.0
YuShan2023,23,3,2,158097,15,13,28,0.65,0.57
Zina-AI,24,14,13,170059,22,17,39,0.92,0.71
AVE,743,388,96,5127485,7217,1317,8534,9.71,1.77
