team_name,game,games_w_holes,games_w_clashes,step,hole,clash,all_hole,avg_hole,avg_clash
AtomicEnergy,21,15,6,142054,179,39,218,8.52,1.86
better-world,9,7,1,61319,79,1,80,8.78,0.11
betterworld,4,2,0,28747,36,0,36,9.0,0.0
CYRUS,24,12,11,156295,803,649,1452,33.46,27.04
farzanegan,13,8,2,92416,98,14,112,7.54,1.08
FRA-UNIted,2,1,1,13204,3,2,5,1.5,1.0
Galaxycoders,20,14,4,134505,242,24,266,12.1,1.2
golbang,21,14,8,145410,248,42,290,11.81,2.0
Hades2D,20,15,5,134314,159,19,178,7.95,0.95
Mouood,21,15,6,150521,121,22,143,5.76,1.05
MT2018,1,0,0,6477,0,0,0,0.0,0.0
Oxsy,2,0,0,13294,0,0,0,0.0,0.0
Razi-Starter,20,7,7,130234,27,27,54,1.35,1.35
Razi-Tison,20,17,5,129816,336,14,350,16.8,0.7
Total,198,127,56,1338606,2331,853,3184,11.77,4.31
