team_name,game,games_w_holes,games_w_clashes,step,hole,clash,all_hole,avg_hole,avg_clash
AETeam,10,9,0,70210,68,0,68,6.8,0.0
Austras2D,10,10,0,65800,67,0,67,6.7,0.0
Conar2D,13,0,0,87550,0,0,0,0.0,0.0
Cyrus,9,9,9,65543,207,57,264,23.0,6.33
Esteghlal,13,0,0,90346,0,0,0,0.0,0.0
FRA-UNIted,14,1,1,94137,2,1,3,0.14,0.07
Hades2D,10,10,0,68560,129,0,129,12.9,0.0
ITAndroids2021,14,0,0,95108,0,0,0,0.0,0.0
Mars,13,0,0,89196,0,0,0,0.0,0.0
MT2021,15,0,0,99745,0,0,0,0.0,0.0
OBG,14,14,14,94426,6161,2957,9118,440.07,211.21
older,9,9,0,63043,128,0,128,14.22,0.0
Persepolis2021,14,0,0,96744,0,0,0,0.0,0.0
PYRUS,16,0,0,107321,0,0,0,0.0,0.0
Quantum2021,17,0,0,119554,0,0,0,0.0,0.0
RoboCIn,14,0,0,94427,0,0,0,0.0,0.0
TheBenchwarmers,12,0,12,103431,0,12,12,0.0,1.0
ThunderLeague,11,0,0,77565,0,0,0,0.0,0.0
YuShan2021,14,3,3,94048,4,3,7,0.29,0.21
Total,242,65,39,1676754,6766,3030,9796,27.96,12.52
