team_name,game,games_w_holes,games_w_black_holes,step,hole,black_hole,all_hole,avg_hole,avg_black_hole
Adrenaline,18,18,1,125432,419,1,420,23.28,0.06
AEteam,17,16,1,125907,3584,4,3588,210.82,0.24
agent2d,18,0,0,125304,0,0,0,0.0,0.0
Artemis,18,13,0,121773,186,0,186,10.33,0.0
Artint,17,16,0,118772,124,0,124,7.29,0.0
BeyondAlice,19,2,2,127625,2,2,4,0.11,0.11
CoderMasters,20,18,0,145190,544,0,544,27.2,0.0
Cyrus,18,18,11,126305,448,107,555,24.89,5.94
Cyrus-base,18,0,0,125942,0,0,0,0.0,0.0
CyrusGirls,18,17,3,132675,3372,51,3423,187.33,2.83
DCT,20,17,1,140890,266,2,268,13.3,0.1
DreamTeam,18,16,0,130952,227,0,227,12.61,0.0
DreamWing,22,1,0,147864,1,0,1,0.05,0.0
EMPERATOUR,18,16,0,129354,450,0,450,25.0,0.0
EOP,18,16,0,125236,239,0,239,13.28,0.0
etp,8,7,0,58671,184,0,184,23.0,0.0
ETP,12,11,0,82334,174,0,174,14.5,0.0
Galaxycoders,15,11,0,103544,216,0,216,14.4,0.0
GalaxyCoders,5,4,0,35752,99,0,99,19.8,0.0
Ghaem,17,17,0,114326,280,0,280,16.47,0.0
GhoGhnoS,18,17,0,128944,403,0,403,22.39,0.0
Hades2D,19,18,0,133180,464,0,464,24.42,0.0
HfutEngine2022,20,0,0,135124,0,0,0,0.0,0.0
Mangro,18,0,0,121070,0,0,0,0.0,0.0
masterc,5,3,0,32914,53,0,53,10.6,0.0
masterc++,13,11,0,88067,192,0,192,14.77,0.0
mrl,18,3,3,121213,321,271,592,17.83,15.06
MS2D,17,0,0,123218,0,0,0,0.0,0.0
MT2022,18,0,0,120142,0,0,0,0.0,0.0
NimkatMaghz,11,8,0,75403,99,0,99,9.0,0.0
parvaz,12,11,0,82493,180,0,180,15.0,0.0
Parvaz,5,5,0,34124,79,0,79,15.8,0.0
Persepolis,18,0,0,122403,0,0,0,0.0,0.0
PYRUS,19,2,2,128552,3,3,6,0.16,0.16
RoboCIn,22,0,0,150021,0,0,0,0.0,0.0
spiders,8,8,0,56325,113,0,113,14.12,0.0
Spiders,10,9,0,69050,159,0,159,15.9,0.0
TEAMNAME,1,0,0,7327,0,0,0,0.0,0.0
ThunderLeague,18,0,0,124283,0,0,0,0.0,0.0
UofR,20,1,1,138649,2,2,4,0.1,0.1
Valenciennes2D,19,3,3,133132,3,3,6,0.16,0.16
xprogrammers,22,18,0,163291,341,0,341,15.5,0.0
YuShan2022,19,2,2,129417,5,3,8,0.26,0.16
Total,684,353,30,4762190,13232,449,13681,19.35,0.66
