team_name,game,games_w_holes,games_w_black_holes,step,hole,black_hole,all_hole,avg_hole,avg_black_hole
2DJunior,3,2,0,21436,20,0,20,6.67,0.0
Andromeda,2,2,0,13554,29,0,29,14.5,0.0
Atalanta,1,1,0,6404,6,0,6,6.0,0.0
AtomicEnergy,5,5,0,35323,75,0,75,15.0,0.0
CYRUS,7,0,0,46391,0,0,0,0.0,0.0
CyrusStarter,5,3,0,35334,38,0,38,7.6,0.0
GoldenTeam,4,3,0,28131,25,0,25,6.25,0.0
Hades2D,4,4,0,29513,85,0,85,21.25,0.0
HELIOSbase,2,0,0,14670,0,0,0,0.0,0.0
KN2C,4,0,0,28132,0,0,0,0.0,0.0
Mars,4,0,0,26411,0,0,0,0.0,0.0
MS2D,5,4,0,36553,52,0,52,10.4,0.0
Namira,3,0,0,20395,0,0,0,0.0,0.0
Nexus2d,8,1,1,53774,13,9,22,1.62,1.12
Razi,2,0,0,13080,0,0,0,0.0,0.0
Riton,3,0,0,21099,0,0,0,0.0,0.0
Total,62,25,1,430200,343,9,352,5.53,0.15
