team_name,game,game_hole,game_black_hole,step,hole,black_hole,all_hole,ave_hole,ave_black_hole
Alice,23,11,11,150469,14,14,28,0.61,0.61
CSUYunlu,21,12,12,139854,20,20,40,0.95,0.95
CYRUS,22,8,8,144932,18,18,36,0.82,0.82
Fifty-Storms,21,13,13,141177,28,26,54,1.33,1.24
FRA-UNIted,23,0,0,150310,0,0,0,0.0,0.0
Gliders2016,8,6,6,52696,18,9,27,2.25,1.12
HELIOS2017,22,10,10,145188,13,13,26,0.59,0.59
HfutEngine2017,22,12,12,145562,83,35,118,3.77,1.59
HillStone,22,15,15,148868,30,30,60,1.36,1.36
ITAndroids,21,13,13,141163,19,19,38,0.9,0.9
MT2017,23,14,14,150008,25,25,50,1.09,1.09
Nexus2D,21,21,21,138246,1751,498,2249,83.38,23.71
Oxsy,25,3,3,165203,4,4,8,0.16,0.16
PersianGulf2017,21,13,13,142093,30,28,58,1.43,1.33
Ri-one,21,8,8,143052,14,14,28,0.67,0.67
WIT,21,16,16,144823,28,28,56,1.33,1.33
Ziziphus,21,15,15,139234,35,35,70,1.67,1.67
AVE,358,190,190,2382878,2130,816,2946,5.95,2.28
