team_name,game,games_w_holes,games_w_clashes,step,hole,clash,all_hole,avg_hole,avg_clash
CYRUS2019,22,0,0,146255,0,0,0,0.0,0.0
FCPGPR2018NS,20,0,0,140625,0,0,0,0.0,0.0
FRA-UNIted,20,0,0,132464,0,0,0,0.0,0.0
Fractals2019,22,0,0,148085,0,0,0,0.0,0.0
HELIOS2019,20,0,0,132594,0,0,0,0.0,0.0
HfutEngine2019,20,0,0,134076,0,0,0,0.0,0.0
HillStone,21,0,0,143141,0,0,0,0.0,0.0
ITAndroids,21,0,0,144005,0,0,0,0.0,0.0
MT2019,20,0,0,132639,0,0,0,0.0,0.0
Razi2018,20,0,0,137675,0,0,0,0.0,0.0
Receptivity,22,0,0,149050,0,0,0,0.0,0.0
Ri-one,21,20,19,143487,930,311,1241,44.29,14.81
RoboCIn,22,0,0,154237,0,0,0,0.0,0.0
Titas2019,20,0,0,136005,0,0,0,0.0,0.0
YuShan2019,21,3,3,139414,9,8,17,0.43,0.38
Total,312,23,22,2113752,939,319,1258,3.01,1.02
